family,libr,branch,x,y,z,vx,vy,vz,jacobi,period,stability,target_jacobi,jacobi_diff
halo,2.0,S, 1.0405168244919354e+00, 4.9501745711536337e-27,-1.9246973884570390e-01,-2.5156396647174654e-14,-1.4017365893166084e-01,-5.5741863236235444e-13,3.03105243850999,1.7591082595033167,1.67357127129783,3.0310962126324488,4.377412245881729e-05
halo,2.0,S, 1.0215137765057341e+00, 3.5529441239395787e-27,-1.8174453994516010e-01, 2.1162059796963046e-14,-1.0214766754658841e-01, 2.8382217662518205e-13,3.04700820128561,1.5044180871264827,1.30866538341928,3.0470147506975276,6.549411917688985e-06
halo,2.0,S, 1.1442233854572232e+00, 5.1825193434420243e-28,-1.5672724433128338e-01, 5.8983642239264572e-15,-2.2163728042111741e-01, 6.9368671697760274e-15,3.06293739011389,3.145694686839595,79.6540189614308,3.062933288762607,4.1013512830367915e-06
halo,2.0,S, 9.9990394137324012e-01,-1.8760255546133587e-27,-1.5854210541457614e-01,-1.5556031357305873e-12,-4.9211959557140118e-02,-2.0741849654473416e-11,3.07886886977449,1.1822355631451924,1.00000000633572,3.0788518268276857,1.704294680449081e-05
halo,2.0,S, 9.9507800599420859e-01,-7.4305085593443854e-29,-1.4722550271832305e-01,-7.8341463022461439e-12,-3.5069961569850400e-02,-1.0312626430663888e-10,3.09470804893751,1.0640634005122611,1.00000012934322,3.0947703648927645,6.231595525463263e-05
halo,2.0,S, 1.1678725307733888e+00, 9.5775954466580380e-29,-1.0198690143786461e-01,-2.1120740470740649e-15,-1.9680789490872388e-01,-6.2858745169668193e-16,3.11071358110742,3.3235395908117864,273.843530180586,3.1106889029578433,2.4678149576740083e-05
halo,2.0,S, 9.9072210259750604e-01,-4.2537834946929717e-26,-1.2714180823535234e-01, 2.4301216109038031e-11,-2.0113259028941566e-02, 3.8795878347431069e-10,3.12660740563895,0.8696266928725037,1.00000010606063,3.1266074410229225,3.5383972640801176e-08
halo,2.0,S, 1.1785526023419006e+00, 2.7852228971012301e-27,-4.7183774708331287e-02,-3.5192605162071767e-15,-1.6754192040206323e-01,-1.5132242405592539e-14,3.14258463609462,3.397143784553412,512.287289765333,3.1425259790880014,5.865700661855655e-05
halo,2.0,S, 9.8915608716985226e-01,-2.7944192888900250e-25,-1.1092405206427565e-01,-2.8840204159407149e-10,-1.3160887715572393e-02,-4.9112605853373936e-09,3.15844451715308,0.7191707018171736,1.00000488534575,3.15844451715308,0.0
halo,3.0,N,-1.7867144725066145e-01,-1.4548592376034466e-23, 1.9179157984072985e+00, 1.8089666736160850e-13, 1.3133962299715846e-01,-1.1431352976425539e-12,1.05176597897066,5.973536770999651,1.00017048003842,1.05176597897066,0.0
halo,3.0,N,-6.2193554800493744e-01,-2.0012071262513703e-23, 1.8262213498403339e+00, 1.0558361839364851e-11, 4.6768758148738787e-01,-1.1478219700767908e-11,1.20421187119833,6.182000228069484,1.12745185986636,1.204180001705881,3.186949244904369e-05
halo,3.0,N,-8.3730660973727755e-01,-1.1671443698613118e-23, 1.7044389618951730e+00,-3.7586482812883314e-12, 6.3044947708158927e-01,-1.0035082455856689e-12,1.35666308636846,6.205226678819451,1.16392330269444,1.356594024441102,6.906192735778305e-05
halo,3.0,N,-1.0052049537447887e+00, 2.3098841537111436e-23, 1.5741108377061328e+00, 7.4301206190220689e-12, 7.5666636572164025e-01,-7.8875339160387019e-12,1.50899313911777,6.2167699918216694,1.19237337228206,1.5090080471763234,1.4908058553420034e-05
halo,3.0,N,-1.1482702383743530e+00,-1.5597480590767493e-23, 1.4334811754756589e+00, 2.6232511317845406e-12, 8.6403520096836461e-01,-4.1302968647773592e-12,1.66155747727137,6.223987141238729,1.22002068959874,1.6614220699115445,0.0001354073598254235
halo,3.0,N,-1.2751955369157404e+00,-6.6278851663078821e-24, 1.2796850168121474e+00,-2.7083686115108076e-12, 9.5943806149297062e-01,-1.8526679940544819e-12,1.81376868109666,6.228958167120848,1.24900217669934,1.8138360926467656,6.741155010558941e-05
halo,3.0,N,-1.3912153504162879e+00, 2.9073506267508114e-23, 1.1063345165663849e+00,-2.7953573188090265e-12, 1.0469591777618401e+00,-1.5703508104359385e-12,1.96610049812767,6.232589731250976,1.27995373588386,1.9662501153819867,0.00014961725431672512
halo,3.0,N,-1.4992458780685620e+00, 2.1409513650981548e-23, 9.0156971461648794e-01, 2.3766736790622237e-12, 1.1288302247044664e+00,-1.4570748062924468e-12,2.11874861124298,6.23534023225123,1.31283190913548,2.1186641381172078,8.447312577208876e-05
halo,3.0,N,-1.6006511573505628e+00, 4.0630193256810481e-23, 6.3650172565299967e-01, 1.8369693284343645e-14, 1.2060516739863210e+00,-6.5706724296715753e-13,2.27115739098763,6.237467820405338,1.34722300986647,2.271078160852429,7.923013520105826e-05
halo,3.0,N,-1.6967233092486720e+00, 3.1756007279014768e-23, 1.0136396075463166e-02,-5.8932494929994690e-13, 1.2795419587406101e+00,-1.3980383346242373e-14,2.42349218358765,6.239147109296424,1.38283997251452,2.42349218358765,0.0
halo,3.0,S,-1.7867144725066145e-01,-1.4548592376034466e-23,-1.9179157984072985e+00, 1.8089666736160850e-13, 1.3133962299715846e-01, 1.1431352976425539e-12,1.05176597897066,5.973536770999651,1.00017048003842,1.05176597897066,0.0
halo,3.0,S,-6.2193554800493744e-01,-2.0012071262513703e-23,-1.8262213498403339e+00, 1.0558361839364851e-11, 4.6768758148738787e-01, 1.1478219700767908e-11,1.20421187119833,6.182000228069484,1.12745185986636,1.204180001705881,3.186949244904369e-05
halo,3.0,S,-8.3730660973727755e-01,-1.1671443698613118e-23,-1.7044389618951730e+00,-3.7586482812883314e-12, 6.3044947708158927e-01, 1.0035082455856689e-12,1.35666308636846,6.205226678819451,1.16392330269444,1.356594024441102,6.906192735778305e-05
