delta_v_magnitude,maneuver_proportion,mc_iteration,times_found
0.00615848211066026,0.3157894736842105,3,0.17
0.00615848211066026,0.3157894736842105,4,0.22
0.00615848211066026,0.3421052631578947,0,0.18
0.00615848211066026,0.3421052631578947,1,0.155
0.00615848211066026,0.3421052631578947,2,0.2
0.00615848211066026,0.3421052631578947,3,0.155
0.00615848211066026,0.3421052631578947,4,0.17
0.00615848211066026,0.3684210526315789,0,0.185
0.00615848211066026,0.3684210526315789,1,0.195
0.00615848211066026,0.3684210526315789,2,0.165
0.00615848211066026,0.3684210526315789,3,0.18
0.00615848211066026,0.3684210526315789,4,0.17
0.00615848211066026,0.39473684210526316,0,0.17
0.00615848211066026,0.39473684210526316,1,0.18
0.00615848211066026,0.39473684210526316,2,0.165
0.00615848211066026,0.39473684210526316,3,0.17500000000000002
0.00615848211066026,0.39473684210526316,4,0.23
0.00615848211066026,0.42105263157894735,0,0.165
0.00615848211066026,0.42105263157894735,1,0.16
0.00615848211066026,0.42105263157894735,2,0.24
0.00615848211066026,0.42105263157894735,3,0.2
0.00615848211066026,0.42105263157894735,4,0.16
0.00615848211066026,0.4473684210526315,0,0.14
0.00615848211066026,0.4473684210526315,1,0.145
0.00615848211066026,0.4473684210526315,2,0.17500000000000002
0.00615848211066026,0.4473684210526315,3,0.16
0.00615848211066026,0.4473684210526315,4,0.23500000000000001
0.00615848211066026,0.47368421052631576,0,0.17
0.00615848211066026,0.47368421052631576,1,0.145
0.00615848211066026,0.47368421052631576,2,0.2
