family,libr,branch,x,y,z,vx,vy,vz,jacobi,period,stability
halo,2,S, 1.0671829596827094e+00, 1.0446946140191718e-27,-2.0108659160261938e-01, 1.2370656067740821e-14,-1.8225751645763869e-01, 6.1012822594697694e-14,3.01759453437781, 2.1452383280861751e+00,1.0955804086574
halo,2,S, 1.1113439962685669e+00,-7.9674922117075851e-27,-1.9339285330645040e-01,-1.5336333932796654e-15,-2.2201580631068876e-01, 2.9487313953344797e-14,3.02474245680483, 2.7898493597557050e+00,12.870946871461
halo,2,S, 1.1243846566568989e+00, 6.7529305344637416e-28,-1.8275530247344896e-01, 7.8548092086699139e-16,-2.2537680934635290e-01,-6.0683278082325754e-15,3.03627648447837, 2.9489056172011878e+00,27.5333122591781
halo,2,S, 1.1368240866331332e+00,-3.8212647101226819e-27,-1.6796029248769667e-01, 4.2097800132802812e-15,-2.2440189590898041e-01, 4.5229977410054718e-15,3.05170312236596, 3.0785014791317789e+00,54.0253537887029
halo,2,S, 1.0033660929968604e+00,-5.1319000003245419e-27,-1.6414806962970038e-01,-1.1033654524825505e-12,-5.8612029250318359e-02,-1.5457368961785849e-11,3.07127807045821, 1.2461412438742061e+00,1.0
halo,2,S, 9.9498630559957102e-01, 2.0387819039274205e-27,-1.4694370469402460e-01,-2.6910244123365289e-13,-3.4784344782262340e-02,-6.2195406704359077e-12,3.095116621084, 1.0612370187928593e+00,1.00000012331925
halo,2,S, 1.1716311100538219e+00, 2.9095905986513744e-28,-8.7950564632621839e-02,-4.1688552560737483e-15,-1.8898665091140343e-01,-3.9328769105461977e-15,3.12066238291288, 3.3489216604586716e+00,337.004122366351
halo,2,S, 9.8977079803666845e-01,-1.5580682486637326e-27,-1.1871560430219626e-01, 1.0353632997193252e-10,-1.6114351764996291e-02, 1.7020658160634542e-09,3.14227237925978, 7.9083056988825495e-01,1.0
halo,2,S, 9.8915608716985226e-01,-2.7944192888900250e-25,-1.1092405206427565e-01,-2.8840204159407149e-10,-1.3160887715572393e-02,-4.9112605853373936e-09,3.15844451715308, 7.1917070181717357e-01,1.00000488534575
lyapunov,1,, 4.0976123461511266e-01,-2.6988484146598425e-23,-2.9417515655701884e-26,-1.9237533891084223e-13, 1.4666820372526499e+00, 2.0898742783096624e-25,2.74151447391072, 7.4458490878530990e+00,113.808340851814
lyapunov,1,, 4.7554117782674926e-01, 1.2184442286234152e-22,-1.8538525458492783e-26,-3.5281122062819657e-13, 1.2349983303231289e+00,-2.3977624536548812e-25,2.79947519735471, 7.3813491896638839e+00,87.6019633722944
lyapunov,1,, 5.4447584315984132e-01,-3.4410721907889457e-23,-2.5912719734781613e-25, 1.5092947224432616e-13, 1.0251740577170618e+00,-6.1761146104903317e-25,2.84969792984992, 7.1998037185651453e+00,67.5229424328517
lyapunov,1,, 6.1354774164825987e-01,-4.4998633748269693e-23, 3.6905808637465573e-26, 3.2128179213405279e-13, 8.4075589932600248e-01,-2.3520930120598347e-25,2.89208445029032, 6.8230899125850915e+00,55.5133455549559
lyapunov,1,, 6.7824851077656167e-01, 9.9632241994967215e-23, 1.0252398635008232e-25, 3.0403863177603093e-13, 6.8687766430653985e-01,-1.6056654656206573e-24,2.92838848331715, 6.1620701026301123e+00,55.8649274899949
lyapunov,1,, 7.3410547284721983e-01, 3.4940024816867493e-24, 1.5066548077159650e-25, 4.6107043494174435e-13, 5.6364764559865999e-01, 8.9877060160363286e-25,2.96446375036459, 5.1961502586439359e+00,81.4651616064313
lyapunov,1,, 7.7804383705998004e-01,-2.3293490305970098e-24, 7.1847936700073349e-24,-2.1831163074509363e-14, 4.5468669295020547e-01,-8.3041993155081436e-22,3.01470858740613, 4.0600711470267239e+00,181.096202694321
lyapunov,1,, 8.0591808437908519e-01, 2.8886570643796587e-27,-2.7019509071818005e-34,-6.2659724964730824e-16, 3.1162623630776309e-01,-2.5319160901457382e-32,3.10104336394536, 3.1166441740333712e+00,562.564149648459
lyapunov,1,, 8.2283543561208183e-01, 1.9634538049843578e-29, 1.9757577393253716e-30,-1.1811455233400149e-15, 1.3213143018437523e-01, 3.8226382747073805e-32,3.17301278190323, 2.7481648047672902e+00,1166.25434543098
lyapunov,1,, 8.3690888734309465e-01, 2.6569853876973453e-29,-6.5553023513506719e-32, 6.0314258522129136e-16, 5.2232242080210143e-05, 5.1825223150917431e-31,3.18834111546061, 2.6915795567917442e+00,1337.71033450654
vertical,2,, 1.0607397859062240e+00,-1.7393887466496868e-26, 4.2332120808772832e-14, 1.6187048429903335e-11,-2.1039551912255732e+00, 2.5703533365413955e-03,-1.12659856102396, 6.2975755476123840e+00,1.00012771197327
vertical,2,, 1.0610035117431342e+00,-1.2971449034504050e-24,-3.9089677431784624e-13,-9.8502867043860757e-13,-2.0479253840443814e+00, 3.3598851343509956e-01,-1.00794605539547, 6.2966893708691165e+00,3.55664454391235
vertical,2,, 1.0617977937743377e+00,-1.3763474467716752e-24,-5.1256189308545492e-14,-3.6444737545030455e-14,-1.8971511888271217e+00, 6.2051676177445547e-01,-0.688526659343601, 6.2939780324747288e+00,13.1238429710837
vertical,2,, 1.0631811661708217e+00,-9.1974374833798060e-25,-1.1948959791100262e-13,-1.0885799512923849e-13,-1.6823663820008918e+00, 8.3240642641978280e-01,-0.233021843049514, 6.2890409154841000e+00,32.966204100603
vertical,2,, 1.0652979432290035e+00,-1.0322403117079837e-24, 8.6299976518770526e-15,-1.7796739366483423e-13,-1.4305937217887741e+00, 9.6624292316177640e-01,0.302090607819378, 6.2807731804423232e+00,65.4493646735772
vertical,2,, 1.0684284485534401e+00,-2.6909010417342806e-24, 5.2375683482599335e-14,-1.3144675673477013e-13,-1.1613423877218769e+00, 1.0227375605149489e+00,0.876783403365669, 6.2665070260049598e+00,111.11816093467
vertical,2,, 1.0730740116762869e+00, 2.8805246288384338e-26,-2.4973163604879519e-14, 6.2819459977686950e-14,-8.9101104056529890e-01, 1.0023487728328113e+00,1.45857051432267, 6.2394897954185682e+00,166.718934373101
vertical,2,, 1.0801979396709733e+00, 4.8492017882859776e-25,-2.3411050937158536e-15, 1.6293680412301572e-14,-6.3580283255743508e-01, 9.0391264376143898e-01,2.01734131508884, 6.1787656323041622e+00,220.844636315431
vertical,2,, 1.0916105784529808e+00,-2.9180388039822958e-24, 8.2879640208184991e-16,-1.8841444511483329e-14,-4.1765766145532240e-01, 7.2608229062833007e-01,2.51415270377684, 5.9935424153035379e+00,239.342417107526
vertical,2,, 1.1073931895066280e+00, 7.1870348654174879e-23, 4.5475450231117765e-14,-5.4532856949644616e-14,-2.4189177045871293e-01, 4.8766778814351319e-01,2.89800645628467, 4.9840242469228322e+00,154.378009839461
